Frame,Spot_ID,Ref_X,Ref_Y,Distorted_X,Distorted_Y,Shift_X,Shift_Y
4,85,230,92,94,93,-136,1
4,86,184,92,417,92,233,0
4,87,138,92,325,91,187,-1
4,88,92,92,460,90,368,-2
4,89,46,92,185,90,139,-2
4,90,460,46,412,49,-48,3
4,91,414,46,137,49,-277,3
4,92,368,46,461,48,93,2
4,93,322,46,323,48,1,2
4,94,276,46,93,48,-183,2
4,95,230,46,184,46,-46,0
4,96,184,46,368,44,184,-2
4,97,138,46,279,44,141,-2
4,98,92,46,230,44,138,-2
4,99,46,46,45,43,-1,-3
5,0,460,460,322,463,-138,3
5,1,414,460,91,463,-323,3
5,2,368,460,275,462,-93,2
5,3,322,460,186,462,-136,2
5,4,276,460,138,462,-138,2
5,5,230,460,46,461,-184,1
5,6,184,460,459,460,275,0
5,7,138,460,229,459,91,-1
5,8,92,460,413,458,321,-2
5,9,46,460,369,457,323,-3
5,10,460,414,366,415,-94,1
5,11,414,414,319,415,-95,1
5,12,368,414,227,415,-141,1
5,13,322,414,45,415,-277,1
5,14,276,414,183,414,-93,0
5,15,230,414,136,413,-94,-1
5,16,184,414,457,412,273,-2
5,17,138,414,277,412,139,-2
5,18,92,414,93,412,1,-2
5,19,46,414,414,411,368,-3
5,20,460,368,139,371,-321,3
5,21,414,368,232,369,-182,1
5,22,368,368,458,367,90,-1
5,23,322,368,90,367,-232,-1
5,24,276,368,411,366,135,-2
5,25,230,368,319,366,89,-2
5,26,184,368,183,366,-1,-2
5,27,138,368,45,366,-93,-2
5,28,92,368,367,365,275,-3
5,29,46,368,277,365,231,-3
5,30,460,322,324,325,-136,3
5,31,414,322,230,325,-184,3
5,32,368,322,49,325,-319,3
5,33,322,322,457,323,135,1
5,34,276,322,365,323,89,1
5,35,230,322,91,323,-139,1
5,36,184,322,414,322,230,0
5,37,138,322,275,321,137,-1
5,38,92,322,139,321,47,-1
5,39,46,322,185,320,139,-2
5,40,460,276,370,279,-90,3
5,41,414,276,49,278,-365,2
5,42,368,276,139,276,-229,0
5,43,322,276,320,275,-2,-1
5,44,276,276,233,275,-43,-1
5,45,230,276,463,274,233,-2
5,46,184,276,416,274,232,-2
5,47,138,276,276,274,138,-2
5,48,92,276,183,274,91,-2
5,49,46,276,92,274,46,-2
5,50,460,230,369,233,-91,3
5,51,414,230,94,233,-320,3
5,52,368,230,416,232,48,2
5,53,322,230,323,232,1,2
5,54,276,230,136,232,-140,2
5,55,230,230,232,230,2,0
5,56,184,230,463,229,279,-1
5,57,138,230,279,229,141,-1
5,58,92,230,182,229,90,-1
5,59,46,230,43,229,-3,-1
5,60,460,184,366,187,-94,3
5,61,414,184,90,185,-324,1
5,62,368,184,44,184,-324,0
5,63,322,184,417,183,95,-1
5,64,276,184,277,183,1,-1
5,65,230,184,461,182,231,-2
5,66,184,184,185,182,1,-2
5,67,138,184,140,182,2,-2
5,68,92,184,321,181,229,-3
5,69,46,184,233,181,187,-3
5,70,460,138,370,140,-90,2
5,71,414,138,414,139,0,1
5,72,368,138,275,139,-93,1
5,73,322,138,458,138,136,0
5,74,276,138,186,138,-90,0
5,75,230,138,91,138,-139,0
5,76,184,138,45,138,-139,0
5,77,138,138,322,136,184,-2
5,78,92,138,227,136,135,-2
5,79,46,138,139,135,93,-3
5,80,460,92,229,95,-231,3
5,81,414,92,138,95,-276,3
5,82,368,92,324,94,-44,2
5,83,322,92,95,94,-227,2
5,84,276,92,48,94,-228,2
5,85,230,92,457,93,227,1
5,86,184,92,183,92,-1,0
5,87,138,92,416,91,278,-1
5,88,92,92,370,91,278,-1
5,89,46,92,275,90,229,-2
5,90,460,46,413,49,-47,3
5,91,414,46,185,49,-229,3
5,92,368,46,48,49,-320,3
5,93,322,46,323,47,1,1
5,94,276,46,93,47,-183,1
5,95,230,46,278,46,48,0
5,96,184,46,461,45,277,-1
5,97,138,46,228,45,90,-1
5,98,92,46,141,45,49,-1
5,99,46,46,368,43,322,-3
6,0,460,460,369,462,-91,2
6,1,414,460,141,462,-273,2
6,2,368,460,94,462,-274,2
6,3,322,460,48,462,-274,2
6,4,276,460,415,461,139,1
6,5,230,460,458,460,228,0
6,6,184,460,233,460,49,0
6,7,138,460,323,459,185,-1
6,8,92,460,273,459,181,-1
6,9,46,460,182,457,136,-3
6,10,460,414,183,417,-277,3
6,11,414,414,462,416,48,2
6,12,368,414,319,416,-49,2
6,13,322,414,414,415,92,1
6,14,276,414,276,415,0,1
6,15,230,414,233,415,3,1
6,16,184,414,139,414,-45,0
6,17,138,414,366,413,228,-1
6,18,92,414,92,413,0,-1
6,19,46,414,49,411,3,-3
6,20,460,368,461,371,1,3
6,21,414,368,415,371,1,3
6,22,368,368,44,370,-324,2
6,23,322,368,322,368,0,0
6,24,276,368,277,368,1,0
6,25,230,368,184,367,-46,-1
6,26,184,368,371,366,187,-2
6,27,138,368,138,366,0,-2
6,28,92,368,230,365,138,-3
6,29,46,368,92,365,46,-3
6,30,460,322,462,325,2,3
6,31,414,322,135,325,-279,3
6,32,368,322,93,325,-275,3
6,33,322,322,416,324,94,2
6,34,276,322,274,324,-2,2
6,35,230,322,322,323,92,1
6,36,184,322,230,322,46,0
6,37,138,322,44,322,-94,0
6,38,92,322,365,320,273,-2
6,39,46,322,184,319,138,-3
6,40,460,276,416,279,-44,3
6,41,414,276,181,279,-233,3
6,42,368,276,136,279,-232,3
6,43,322,276,273,278,-49,2
6,44,276,276,322,277,46,1
6,45,230,276,459,276,229,0
6,46,184,276,369,276,185,0
6,47,138,276,95,276,-43,0
6,48,92,276,228,275,136,-1
6,49,46,276,49,274,3,-2
6,50,460,230,279,233,-181,3
6,51,414,230,460,230,46,0
6,52,368,230,228,229,-140,-1
6,53,322,230,141,229,-181,-1
6,54,276,230,93,229,-183,-1
6,55,230,230,319,228,89,-2
6,56,184,230,184,228,0,-2
6,57,138,230,417,227,279,-3
6,58,92,230,368,227,276,-3
6,59,46,230,43,227,-3,-3
6,60,460,184,368,187,-92,3
6,61,414,184,319,187,-95,3
6,62,368,184,184,187,-184,3
6,63,322,184,411,186,89,2
6,64,276,184,140,186,-136,2
6,65,230,184,93,186,-137,2
6,66,184,184,459,184,275,0
6,67,138,184,47,183,-91,-1
6,68,92,184,230,182,138,-2
6,69,46,184,275,181,229,-3
6,70,460,138,320,141,-140,3
6,71,414,138,462,140,48,2
6,72,368,138,411,140,43,2
6,73,322,138,185,140,-137,2
6,74,276,138,140,140,-136,2
6,75,230,138,95,140,-135,2
6,76,184,138,275,138,91,0
6,77,138,138,47,138,-91,0
6,78,92,138,230,137,138,-1
6,79,46,138,371,136,325,-2
6,80,460,92,370,95,-90,3
6,81,414,92,415,94,1,2
6,82,368,92,279,94,-89,2
6,83,322,92,44,94,-278,2
6,84,276,92,457,92,181,0
6,85,230,92,321,92,91,0
6,86,184,92,141,92,-43,0
6,87,138,92,231,91,93,-1
6,88,92,92,93,91,1,-1
6,89,46,92,181,90,135,-2
6,90,460,46,457,48,-3,2
6,91,414,46,227,48,-187,2
6,92,368,46,369,47,1,1
6,93,322,46,139,47,-183,1
6,94,276,46,274,46,-2,0
6,95,230,46,411,45,181,-1
6,96,184,46,46,45,-138,-1
6,97,138,46,323,44,185,-2
6,98,92,46,182,44,90,-2
6,99,46,46,90,44,44,-2
7,0,460,460,461,463,1,3
7,1,414,460,322,462,-92,2
7,2,368,460,186,462,-182,2
7,3,322,460,273,461,-49,1
7,4,276,460,140,460,-136,0
7,5,230,460,95,460,-135,0
7,6,184,460,366,459,182,-1
7,7,138,460,46,459,-92,-1
7,8,92,460,417,457,325,-3
7,9,46,460,231,457,185,-3
7,10,460,414,417,417,-43,3
7,11,414,414,273,417,-141,3
7,12,368,414,94,417,-274,3
7,13,322,414,135,416,-187,2
7,14,276,414,368,415,92,1
7,15,230,414,47,415,-183,1
7,16,184,414,461,413,277,-1
7,17,138,414,228,413,90,-1
7,18,92,414,182,412,90,-2
7,19,46,414,319,411,273,-3
7,20,460,368,232,371,-228,3
7,21,414,368,140,371,-274,3
7,22,368,368,47,371,-321,3
7,23,322,368,459,368,137,0
7,24,276,368,414,368,138,0
7,25,230,368,279,367,49,-1
7,26,184,368,369,366,185,-2
7,27,138,368,187,366,49,-2
7,28,92,368,324,365,232,-3
7,29,46,368,89,365,43,-3
7,30,460,322,411,325,-49,3
7,31,414,322,322,325,-92,3
7,32,368,322,278,325,-90,3
7,33,322,322,230,325,-92,3
7,34,276,322,90,325,-186,3
7,35,230,322,47,324,-183,2
7,36,184,322,371,323,187,1
7,37,138,322,185,322,47,0
7,38,92,322,141,321,49,-1
7,39,46,322,463,320,417,-2
7,40,460,276,276,279,-184,3
7,41,414,276,47,279,-367,3
7,42,368,276,185,278,-183,2
7,43,322,276,140,278,-182,2
7,44,276,276,92,278,-184,2
7,45,230,276,417,277,187,1
7,46,184,276,366,277,182,1
7,47,138,276,323,277,185,1
7,48,92,276,230,274,138,-2
7,49,46,276,461,273,415,-3
7,50,460,230,414,233,-46,3
7,51,414,230,279,233,-135,3
7,52,368,230,320,232,-48,2
7,53,322,230,183,232,-139,2
7,54,276,230,366,231,90,1
7,55,230,230,231,230,1,0
7,56,184,230,93,230,-91,0
7,57,138,230,48,230,-90,0
7,58,92,230,460,228,368,-2
7,59,46,230,140,227,94,-3
7,60,460,184,367,187,-93,3
7,61,414,184,414,185,0,1
7,62,368,184,324,184,-44,0
7,63,322,184,182,183,-140,-1
7,64,276,184,135,183,-141,-1
7,65,230,184,48,183,-182,-1
7,66,184,184,279,182,95,-2
7,67,138,184,231,182,93,-2
7,68,92,184,93,182,1,-2
7,69,46,184,461,181,415,-3
7,70,460,138,324,141,-136,3
